,datetime,country,shape,duration (seconds),comments,latitude,longitude
42305,2011-04-21 10:00:00,us,fireball,120,A red dot a little bigger than a star appeared in the southern sky moved in a strange way&#44 then changed directions a few times. after o,39.4458333,-123.80416670000001
42306,2011-04-21 16:00:00,us,other,240,we saw a large flat light sheet in the shape of what looked like texas it didnt make a sound and we didnt see any creatures,38.9536111,-94.7333333
42307,2011-04-21 21:00:00,us,other,60,ardenvoir  ((NUFORC Note:  Possible sighting of an Iridium satellite.  PD)),47.7375000,-120.3677778
42308,2011-04-21 21:00:00,nan,sphere,180,One red and two white objects flying and hoovering&#44 then disappeared instantly (not sure about the nature of those objects),0,0.0
42309,2011-04-21 22:00:00,us,triangle,180,Triangular craft over Poconos...,40.9391667,-75.4352778
42310,2011-04-21 22:29:00,us,light,7,I saw a red light with a little white flying across the sky which made no sound like a plane or helicopter. It was going at a fast spee,35.0072222,-80.9452778
42311,2012-04-21 01:00:00,us,triangle,30,A unidentified triangular object with three white lights in each corner&#44 flying West to East in a fast pace.,33.7205556,-116.21472220000001
42312,2012-04-21 05:23:00,us,sphere,120,Two silent white spheres crossing the early morning sky.,40.7608333,-111.89027779999999
42313,2012-04-21 08:30:00,us,fireball,300,3 bright red dots making a triangular for the they disappeared,37.1041667,-113.58333329999999
42314,2012-04-21 12:40:00,us,disk,1,Flying saucer over I-5 in North Seattle.,47.6063889,-122.33083329999998
42315,2012-04-21 15:00:00,us,light,14400,Bright blinking Light&#44 and a strange jet. also&#44 a helicopter following another intense light.,38.8338889,-104.8208333
42316,2012-04-21 17:45:00,us,fireball,60,Two fireballs seen flying over Bay shore neighborhood,40.7250000,-73.2458333
42317,2012-04-21 19:45:00,nan,light,0,Bright white and blue lights spotted ove Surprise AZ April 21 2012,33.639099,-112.395758
42318,2012-04-21 20:00:00,us,sphere,60,Multiple spheres in the sky that are unexplainable,33.7475000,-116.9711111
42319,2012-04-21 20:30:00,nan,sphere,3600,Several RED lights in the sky seen over Fresno and Tulare counties,36.80509,-119.464359
42320,2012-04-21 20:40:00,us,oval,240,Large&#44 dim&#44 asymetrical and constantly changing shape&#44 faintly colored object&#44 moving from NW to SE.,39.5350000,-119.75166670000002
42321,2012-04-21 21:00:00,us,light,6,Helicopter chasing ball of light&#44 disappears.,39.7047222,-105.08083329999998
42322,2012-04-21 21:00:00,us,circle,240,Directional 32 amber orbs from SW Las Vegas heading toward NW Las Vegas,36.1750000,-115.1363889
42323,2012-04-21 21:00:00,us,oval,7200,Shimmering oval shaped UFO seen over Highway 17 in Santa Cruz&#33,36.9741667,-122.02972220000001
42324,2012-04-21 21:15:00,us,triangle,300,Lights in triangle formation&#44 solitary fireball over interstate 55 near Joliet&#44 Illinois,41.5250000,-88.0816667
42325,2012-04-21 21:30:00,us,fireball,105,Fireball moving south at slow pace pretty much below cloud cover around 9:30 p.m. pulsed in briteness a few times turned black and went,38.4327778,-90.3775
42326,2012-04-21 22:00:00,us,triangle,10,I was looking up in the night sky for meteors because of the shower that was taking place that night. All of a sudden I saw a spot of d,47.5675000,-122.63138889999999
42327,2012-04-21 22:00:00,ca,circle,14400,Two bright moving orbs in the sky vanishing and re appearing between 22:00PM and 1:00AM.,49.166667,-121.95
42328,2012-04-21 22:00:00,ca,circle,180,AT 22:00pm in Chilliwack&#44 British Columbia&#44 myself and my boyfriend witnessed a UFO from our balcony. I was putting my child in for a b,49.166667,-121.95
42329,2012-04-21 22:25:00,us,circle,300,Bright&#44 circular in shape object&#44 moving from a 3 o&#39clock position in the sky to the 12 o&#39clock position before dissapearing,47.3075000,-122.2272222
42330,2012-04-21 22:25:00,us,sphere,90,White light Orb moving silently the size and brightness of  Venus moves half way across sky then fades totally away.,47.0380556,-122.89944440000001
42331,2012-04-21 22:35:00,us,unknown,1500,A white light in the sky that would stop in the air and change directions like a ball in a pinball machine.,43.7733333,-85.5025
42332,2012-04-21 22:35:00,us,light,15,Point of light heading SE in trajectory disappeared completely as if it receded into space&#44 leaving orbit on a ballistic trajectory.,45.5236111,-122.675
42333,2012-04-21 22:40:00,us,circle,20,At approximately 10:40 PM on Saturday evening April 21st. I was standing out front of the Snoqualmie Eagles Club in Northbend Washingto,47.4958333,-121.78555559999998
42334,2012-04-21 23:05:00,us,circle,60,Bright colored fast moving light that split into two and rapidly flew away,41.5875000,-109.20222220000001
42335,2012-04-21 00:00:00,us,other,240,Unknown hellicoptor type object chasing bright light.,39.6133333,-105.0161111
42336,2012-04-21 00:00:00,us,light,0,I was on our patio&#44 facing East-South East and they came in the same direction over the treeline. I was on the phone with my father at,34.2255556,-77.945
42337,2013-04-21 00:00:00,us,unknown,300,Cigar or saucer shaped object above murfreesboro tennessee,35.8455556,-86.39027779999999
42338,2013-04-21 00:00:00,us,other,0,In a newly plowed field there was what appeared to be indentation and scraping like on top of the plowed field about a 6x7 foot area. T,35.1386111,-107.37833329999998
42339,2013-04-21 02:00:00,us,fireball,120,Out side wal mart several people were watching a slow moving fire moving from east to west.  They said it has been going for 2 minutes.,32.3122222,-106.7777778
42340,2013-04-21 04:45:00,us,oval,60,04/21/2013  04:45 oblong orange/yellow bright light traveling west to east in Tracy&#44 CA for 30-60 seonds&#44 then disappeared,37.7397222,-121.42416670000001
42341,2013-04-21 10:30:00,us,unknown,0,Looking E towards the little dipper in a driveway in Barkhamsted CT&#44 I saw a small dot of light moving extremely fast across the sky.,41.9291667,-72.91444440000001
42342,2013-04-21 11:40:00,us,light,1800,UFO  over Palm Springs  Metallic object sighted west of Pam Springs&#44 CA around 11:40am on Sunday April 21st. Object was stationary over,33.8302778,-116.54444440000002
42343,2013-04-21 20:00:00,us,changing,120,Red fire lights over covington/mandeville,30.3580556,-90.0655556
42344,2013-04-21 20:30:00,us,diamond,60,Low flying/gliding diamond&#44 three white lights&#44 one blinking red.,41.7000000,-70.3
42345,2013-04-21 20:30:00,us,triangle,2700,Triangle amber yellow lights over Chandler Arizona,33.3061111,-111.84055559999999
42346,2013-04-21 20:30:00,us,light,30,Bright Blue Light flying incredibly fast after being still,42.5444444,-72.60611109999999
42347,2013-04-21 21:00:00,us,light,120,Spotted an light much like a star but larger and green with subtle red light. Moved very erratically&#44 changing direction master than an,35.0844444,-106.65055559999999
42348,2013-04-21 21:00:00,nan,oval,1200,2 Crafts Spotted Over Macomb County&#44 MI&#44 in April&#44 2013.,42.586888,-82.919551
42349,2013-04-21 21:00:00,us,light,1800,Lights kekaha HI on island of Kauai,21.9711111,-159.715
42350,2013-04-21 21:00:00,us,light,1800,Red lights over Kekaha Hawaii 4-21-2013,21.9711111,-159.715
42351,2013-04-21 21:30:00,us,fireball,1.5,Glowing neon green ball... Falling very fast and perfectly vertical over Boston.,42.3583333,-71.0602778
42352,2013-04-21 21:50:00,us,light,15,Big bright light appears and shoots straight down towards the ground.,40.7141667,-74.0063889
42353,2013-04-21 22:00:00,us,rectangle,1800,Blue light coming from sky&#44  saw a pitch black rectangle unknown gliding to the right and back in the sky,44.7438889,-94.7152778
42354,2013-04-21 22:15:00,us,oval,2700,Two objects stationary in sky with multi-colored blinking lights.  ((NUFORC Note:  Possible twinkling stars??  PD)),43.0302778,-83.1661111
42355,2013-04-21 22:30:00,nan,disk,120,21.04.2013 22:30 Tirana&#44 Albania 2 minutes&#44 Disk/sphere object with a red light line on the middle,41.327546,19.818698
42356,2013-04-21 23:10:00,nan,formation,1200,Initially appeared as single bright light.Split off into 3 separate UFO in separate directions. Viewed from car on I95 South near I495,42.258,-71.781
42357,2013-04-21 23:15:00,us,circle,0,Round object with changing lights.  ((NUFORC Note:  Twinkling star??  PD)),33.4936111,-117.1475
42358,2013-04-21 23:30:00,nan,circle,300,Bright circle moving across the sky,40.336419,-74.433047
42359,2013-04-21 23:45:00,nan,light,1800,Two bright lights over treeline&#44 no sound,39.178834,-81.51168100000001
42360,2014-04-21 00:00:00,us,circle,120,I went outside to my backyard to see what the weather was like. There was allot of clouds in the sky&#44 when I notice way up a black roun,34.6086111,-98.39
42361,2014-04-21 00:10:00,us,light,3600,Neon green blinking lights in only our tree.,28.0777778,-82.76388890000001
42362,2014-04-21 01:00:00,us,fireball,900,Orange ball of light.,33.7205556,-116.21472220000001
42363,2014-04-21 05:30:00,us,changing,900,Multiple lights seemingly interacting.,33.8025000,-85.18861109999999
42364,2014-04-21 08:40:00,us,triangle,900,Looked up and saw one object hovering then a second but had white likes then a third joined them which had a green light.,40.9627778,-74.1333333
42365,2014-04-21 14:30:00,us,other,0,Walking by the water&#44 my wife and I spot a strange body in water and find vertebrae or finger with spines or spikes on rocks.,30.1586111,-85.66027779999999
42366,2014-04-21 18:00:00,us,cigar,60,Large brilliant white cigar shaped craft moving from north to south in the sky.,46.8202778,-94.51611109999999
42367,2014-04-21 21:45:00,nan,other,2400,TRINIDAD:  Saw a tiny light like a distant star moving very slowly.,10.666667,-61.516667000000005
42368,2014-04-21 22:00:00,us,light,15,Bright light that went from stationary to slow moving&#44 with light extinguishing in a few seconds. No nav lights&#44 no sound.,33.8650000,-84.3366667
42369,2014-04-21 22:15:00,nan,light,3,A weird flash of light appeared in the sky two times.,14.676041,121.0437
42370,2014-04-21 22:20:00,us,triangle,120,Colorful Green&#44 Blue&#44 and Red lights&#44 so bright with color in a trianglular shape.,37.0208333,-93.2058333
42371,2014-04-21 23:00:00,us,unknown,1800,Object with blinking lights hovering in the sky.  ((NUFORC Note:  We suspect a sighting of a &quot;twinkling&quot; star.  PD)),37.3769444,-77.5061111
42470,2010-04-02 03:00:00,ca,light,0,Stationary rectangle of light below the clouds unnerves me.,42.583333,-82.366667
42471,2010-04-02 04:50:00,us,triangle,600,i was walking to my car to check my tire because i got a slow leak. anyhow&#44 on the way back to the house i notice some flashing in one,33.7455556,-117.86694440000001
42472,2010-04-02 13:00:00,us,unknown,5,saw a mass of objects&#44 grouped together in an unorganized formation&#44 very high in the atmosphere&#44 disappear,36.3883333,-86.44666670000001
42473,2010-04-02 15:55:00,us,triangle,30,a dark&#44 silent&#44 triangular aircraft crossing the Columbia River disappeared after watchhing it for 30 seconds,45.6388889,-122.66027779999999
42474,2010-04-02 20:25:00,us,light,60,My son and I were in my yard when we saw a light traveling at a very high rate of speed&#44 stream across the sky.,26.2125000,-80.25
42475,2010-04-02 20:45:00,us,formation,300,orange lights over Greenville RI started in formation then disappeared from sky very weird,41.8711111,-71.5525
42476,2010-04-02 21:00:00,us,formation,900,Three bright circles of light with centre activity over our heads.15 minutes duration.La Quinta CA,33.6633333,-116.30916670000002
42477,2010-04-02 21:30:00,us,light,12,3 lights&#44 pale green in color&#44 traveling from southwest sky +30 deg&#44 heading north in straight line formation.,30.3580556,-90.0655556
42478,2010-04-02 22:45:00,us,light,120,Intense red light aura around flying from South to North. Duration 2 minutes before it disappeared. No Sound,42.6072222,-83.92944440000001
42479,2010-04-02 23:45:00,us,light,180,Flashing rotating lights,38.8338889,-104.8208333
42480,2011-04-02 00:01:00,us,light,300,lights my wife and i see alot,33.1191667,-117.08555559999999
42481,2011-04-02 00:30:00,us,light,3600,Circular multi-colored flashing light object flies erratically south to north near Sedona AZ,34.8697222,-111.7602778
42482,2011-04-02 00:36:00,us,unknown,4,two orange lights moving very fast and turning,42.5083333,-78.6675
42483,2011-04-02 01:30:00,us,unknown,60,Weird twinkling light or array of lights flies around&#44 then disappears.,42.1711111,-87.8444444
42484,2011-04-02 06:05:00,ca,circle,120,satelite traffic is predictable and familiar&#44however zig-zag and rates of speed are out of the norm for this type of traffic,50.016667,-125.25
42485,2011-04-02 06:15:00,us,nan,60,yellowish light&#44 moving very slowly,38.2722222,-92.7194444
42486,2011-04-02 17:30:00,us,triangle,3,Triangular symmetric object flying low in a straight line over North Shore Chicago suburbs.,42.1900000,-87.9083333
42487,2011-04-02 20:00:00,us,cylinder,300,Cylinder shaped craft in Wichita Falls&#44 TX. Faded away...,33.9136111,-98.4930556
42488,2011-04-02 20:30:00,us,other,120,Bright looked like a fireball then disappeard into the sky  Contact me for the picture.,27.1188889,-82.4444444
42489,2011-04-02 21:00:00,nan,triangle,5,Lights flashed to reveal a Large Triangle Object,40.66151,-73.70476
42490,2011-04-02 21:00:00,ca,cone,30,((NUFORC Note:  Student report. PD)) we saw a red cone like obect move across the sky at a very high speen and blink 2x and disapeared.,45.466667,-76.68333299999999
42491,2011-04-02 21:05:00,nan,light,6,bright light with no sound at incredible speed in my very near sky at night,52.355518,-1.17432
42492,2011-04-02 22:00:00,nan,formation,20,four linear orange lights horizontally crossing the skyline by night while rotating,36.876389,10.325277999999999
42493,2011-04-02 23:00:00,us,other,30,It looked like a large gray wreath with small scattered lights&#44 a few miles southwest of Parsippany&#44 NJ 4/2/11.,40.8577778,-74.4263889
42494,2012-04-02 02:00:00,us,triangle,15,Strange black triangle flew over my home&#33,36.0688889,-79.4008333
42495,2012-04-02 02:40:00,us,fireball,4,Fireball/orange like object spotted&#33 Lodi&#44 CA,38.1302778,-121.27138889999999
42496,2012-04-02 05:00:00,us,cigar,3600,Look like with alot of light..one of them moved and disapeared..too long to look like stars also very close&#8230;,40.7141667,-74.0063889
42497,2012-04-02 12:20:00,us,cigar,180,At approximately 12:20pm 4/02/12 I was driving north up the wa-167 from auburn&#44wa into Renton&#44wa and saw 2 cigar/rod shaped objects fly,47.3811111,-122.2336111
42498,2012-04-02 18:20:00,us,fireball,600,Five orange balls over west Maui.,21.5580556,-157.87916669999998
42499,2012-04-02 19:00:00,ca,disk,14400,Foreign Disk shaped object flying about in the sky&#44 moving different directions and a ring around it.,53.283333,-110.0
42500,2012-04-02 19:24:00,us,cigar,0,Deep Space Hubble photo above  Aries faint star large cigar craft large as a small moon cordance,47.6063889,-122.33083329999998
42501,2012-04-02 19:50:00,us,oval,120,Round and gray,29.7352778,-94.9772222
42502,2012-04-02 20:42:00,us,cigar,100,I recorded an unknown object while photographing the conjunction of Venus and the Pleiades the evening of April 2&#44 2012.,40.5800000,-73.8366667
42503,2012-04-02 20:50:00,us,unknown,720,Red and Blue Lights East of Okarche&#44 OK,35.7258333,-97.9761111
42504,2012-04-02 21:00:00,us,cross,720,From the east rock area on the 2nd floor&#44 one could see a ovalish type group of very bright white lights,41.3080556,-72.9286111
42505,2012-04-02 21:30:00,us,light,240,One white with blue light then two more same flight plan over Ames IA.,42.0347222,-93.61972220000001
42506,2012-04-02 21:30:00,us,unknown,0,Bright star shape lights hovering in sky&#44 some with red/blue flashing lights moving across sky.,38.2833333,-90.395
42507,2012-04-02 21:40:00,us,cigar,5,Bright white object traveling for aprox 3 seconds east to west in northern sky--object &quot;flashed/sparked&quot; a bright green &amp; disappeared,38.9016667,-107.9258333
42508,2012-04-02 21:45:00,us,light,0,Looked out my window and saw a bright light&#44 much larger and brighter than the surrounding stars. At first&#44 it seemed to be stationary&#44,41.7355556,-111.8336111
42509,2012-04-02 22:30:00,us,fireball,1200,We really do not know what it was  we do not drink or do drugs but we know we saw something in the sky,38.0050000,-121.8047222
42510,2012-04-02 22:30:00,us,fireball,240,Saw Bright lights in sky over ocean&#44 then two fireballs flying high in sky for few minutes.  They were flying at fast speed towards Nap,19.6455556,-154.9877778
42511,2012-04-02 22:30:00,us,unknown,1800,Bright slow moving light.,36.1344444,-80.6597222
42512,2012-04-02 23:00:00,ca,cone,0,It was a crispy clear night&#44 I took some pictures of the moon and I captured 3 huge objects of a similar shape flying in the sky.,43.666667,-79.416667
42513,2012-04-02 23:49:00,us,triangle,60,Triangle shaped craft over lexington ky,37.9886111,-84.4777778
42514,2012-04-02 00:00:00,ca,nan,0,Moon and two bright objects in western sky.  ((NUFORC Note:  We suspect that the objects were Venus and Jupiter.  PD)),43.666667,-79.416667
42515,2013-04-02 03:00:00,us,triangle,180,Dark Triangle with red lights flying close to ground.  Made abrupt turn.  Made no sound.,35.9130556,-79.0561111
42516,2013-04-02 20:30:00,us,other,240,Bright Orange Sphere Seen At Night Over Calif. Coast Line.,36.6177778,-121.91555559999999
42517,2013-04-02 21:05:00,us,oval,30,Transparent lens moving across the sky in St. Petersburg&#44 FL,27.7705556,-82.67944440000001
42518,2013-04-02 21:15:00,us,oval,20,&quot;It felt like my heart was going to jump out of my chest&#33&quot;,35.7444444,-109.07583329999999
42519,2013-04-02 22:20:00,us,light,4,Sphere of light with black ring in the middle falling from the sky over the lake.,45.9172222,-89.24416670000001
42520,2013-04-02 22:35:00,us,nan,2,Saw a fireball or silent explosion in the sky.,33.8358333,-79.0480556
42521,2013-04-02 23:28:00,us,light,10,Blue orange red dots very bright.,36.7477778,-119.77138889999999
42522,2014-04-02 00:00:00,us,disk,120,((HOAX))  Followed by men in black.,43.1161111,-75.4041667
42523,2014-04-02 00:01:00,us,circle,180,2 lights moving same speed &#44 one behind the other vanish same time in clear sky.,44.5191667,-88.0197222
42524,2014-04-02 01:00:00,us,light,90,Bright light above my house.,38.8338889,-104.8208333
42525,2014-04-02 01:00:00,us,oval,60,I was looking toward the east over the Atlantic Ocean when I seen this round like it went from unbelievably fast motion straight down s,26.3180556,-80.1
42526,2014-04-02 02:10:00,nan,other,180,Dark gray cresent/circular shape flying object in late night sky.,39.290385,-76.612189
42527,2014-04-02 04:00:00,us,triangle,7200,4 witnesses as sky goes insane.,35.6150000,-87.03527779999999
42528,2014-04-02 06:00:00,us,triangle,0,Triangular object glowing&#44 pulsating and slightly moving up and down.,33.9411111,-84.2136111
42529,2014-04-02 11:00:00,us,oval,60,Bright white oval seemed to come out of nowhere and hovered silently towards the mount Redoubt area,60.5544444,-151.2583333
42530,2014-04-02 18:30:00,us,circle,600,Saw a white circle in the sky with what looked like a black dot in the side of it moved slowly in a straight line until it was gone.,42.0775000,-73.9533333
42531,2014-04-02 19:20:00,us,circle,3000,Bright cicularobject/light moving slowly in center of sky&#44 then slowly eastward,39.5297222,-119.81277779999999
42532,2014-04-02 20:00:00,us,unknown,1200,Large &quot;thing&quot; at tree top level over power lines emitting rays of light from many openings/windows&#44 glowing&#44 red &amp; yellow.,41.6894444,-70.1569444
42533,2014-04-02 20:28:00,nan,fireball,90,Orange Fireball moving SE to NW.,27.273049,-80.358226
42534,2014-04-02 20:45:00,us,fireball,10,Large Orange ball apeared in sky above houses and trees&#44 then slowly fell below tree line&#44 mimicking a falling star,47.8211111,-122.3138889
42535,2014-04-02 20:50:00,us,triangle,240,8:50 last night in a northeast direction a triangle shape craft passed overhead. watched it&#44 it banked to the left headed in a northwes,43.2080556,-71.53805559999999
42536,2014-04-02 20:55:00,us,disk,180,Orange disc flying past moon.,27.1675000,-80.26638890000001
42537,2014-04-02 21:00:00,us,circle,0,In the air and no other planes in sight.,32.8572222,-116.9213889
42538,2014-04-02 21:05:00,us,changing,20,Flying reddish &amp;quot;V&amp;quot; shape w/ moving lights over Richmond&#44 Va.,37.5536111,-77.46055559999999
42539,2014-04-02 22:00:00,us,nan,300,Alien in the tree?,26.6250000,-81.625
42666,2010-04-22 00:30:00,us,light,12,Fast moving blue dot over Delaware River near Easton&#44 PA,40.6883333,-75.22111109999999
42667,2010-04-22 00:51:00,us,sphere,10,Large white orb hovering in the sky.,42.9363889,-71.0538889
42668,2010-04-22 01:45:00,nan,other,20,Ufo sighting at 1:45 AM while flying to Poland at 30.000 ft.10 seconds duration,0,0.0
42669,2010-04-22 08:00:00,us,circle,3600,Well my family went out shopping and when they came back they ran inside saying there is a ufo&#33 I went outside to look it wasen&#39t there,30.4941667,-92.4175
42670,2010-04-22 17:35:00,us,unknown,180,Sighting of 12 bright&#44 shiny objects darting about late afternoon eastern sky.,34.0966667,-117.7188889
42671,2010-04-22 19:52:00,us,circle,360,2 Black circles moving in a straight line.,32.4313889,-80.67
42672,2010-04-22 22:50:00,us,chevron,15,Large Chevron shaped craft and bright Orbs over Santa Barbara&#44 CA.,34.4208333,-119.69722220000001
42673,2010-04-22 23:00:00,us,cigar,300,Object with bright pulsating white lights seen on skidmore road  in Lagrange,41.6508333,-73.7633333
42674,2010-04-22 23:05:00,us,light,1800,Sighting of orbs after report of large boomerang shaped craft.,34.4208333,-119.69722220000001
42675,2011-04-22 00:00:00,us,rectangle,25,Square craft&#44 4 orange lights with 1 flashing light in center.  ((NUFORC Note:  Report from former Air Traffic Controller.  PD)),36.8525000,-121.40055559999999
42676,2011-04-22 02:36:00,us,light,2220,My friends an I were walking by a graveyard in Mendon&#44 Illinois when one of us noticed a white light with a purple halo-like ring aroun,40.0883333,-91.28361109999999
42677,2011-04-22 08:45:00,us,unknown,120,way to big to be a chopper &#44about 1000 yds away&#44twice as high as the trees&#44we all saw it,38.3030556,-77.4608333
42678,2011-04-22 21:30:00,ca,light,180,Bright light NE of Hampton elavation 40 degrees heading E rising  then north.,46.216667,-63.466667
42679,2011-04-22 22:00:00,us,other,1800,large bright flashing object with pertruding light ray underneath west of denver travelling south west.,39.7391667,-104.98416670000002
42680,2011-04-22 22:00:00,us,fireball,3,Bright&#44 fast moving object over my head became even brighter before blinking out,39.0483333,-95.67777779999999
42681,2011-04-22 22:30:00,us,other,120,Silent grey triangular shaped craft sighted moving slowly above a quiet neighborhood,35.1555556,-89.7761111
42682,2011-04-22 23:00:00,us,light,180,Mystery disc seen from 50 or less feet away zooms off&#33&#33,42.5358333,-113.79194440000002
