,datetime,city,state,shape,comment
0,12/31/17 23:58,North Miami Beach,FL,Other,Red lights with round and square shape passing over my house
1,12/31/17 23:57,Riverbank,CA,Light,Me my boyfriend and daughter where driving when I noticed three orange/red lights that where moving together in a triangle formation when one by one the lights started dropping smaller lights from it until that light disappeared and then the same thing happened to the next light until they all where gone right before new years
2,12/31/17 23:00,Mesa,AZ,Light,orange orbs in formation
3,12/31/17 23:00,Port Orange,FL,Sphere,"It was New Year's Eve, my family and I we're outside, I was about to leave when I looked up and seen an orange orb.  I first thought it was a plane, but then realized it was moving very slowly and changing direction.  It would get brighter then dimmer.  It would get so dim that you couldn't see it then all of a sudden show up again.  I have video of this event."
4,12/31/17 22:15,Bakersfield,CA,Circle,"saw a glowing object,I went to get my phone it sat above and as I recorded it, would it would go side to side as it spun in circles really fast.  it was glowing yellows and orange, and it looked like it has little spikes all around it.  then would zoom closer to me. almost like it knew I was recording it.  then it turned away from me and slowly went the opposite way, then it was gone. the video shows all."
5,12/31/17 22:00,Jupiter,FL,Fireball,"Between 10:15 – 10:20 Two orange balls of light, in the west sky, possibly over Lake Okeechobee."
6,12/31/17 21:00,Sarasota,FL,Oval,"Orange orbs moving single file over Sarasota FLORIDA airport.  No noise. Low,, moving slow. Vertical disappearance."
7,12/31/17 20:30,Davenport,FL,Light,"Orangey-yellow light that flew higher up to the sky, dimmed out then disappeared, then appeared again in the same position."
8,12/31/17 20:30,Fort Myers,FL,Cross,"Approximately 8:30 in the evening on a clear night a two red lights moving equal distance apart from each other moved from East to West very high in the sky.  It seemed to be moving faster than an airplane at first, it slowed, stopped, and reversed direction and hovered.  Then disappeared so quickly it seemed to vanish.  "
9,12/31/17 20:20,Windham,ME,Other,"One large craft way way up in the atmosphere, like 100,000 ft + maybe way more.  Triangle object very large seemed to change shape to oval or it was just the angle of it moving very slow.  Two objects to the left of the Larger one, they looked almost like lines.  Like a lit up line each.  Both smaller objects disappeared before the larger one left.  I can still see the large one but it’s moving away very slowly.  Lights all around its perimeter.  Very cool, never seen anything like it.  I’m not a nut job, this isn’t a hoax.  I’m a business owner age 31, male."
10,12/31/17 20:00,Fort Bragg,CA,<br/>,3 orbs with red lights all were moving one in middle stopped then vanished.  Then other two orbs stopped and vanished.  The orbs were traveling from south to north.
11,12/31/17 19:05,Gainesville,GA,Triangle,"TRIANGULAR FORMATION OF LIGHTS MAKING A 90 DEGREE CHANGE IN COURSE THEN TRAVELING NORTHBOUND NEAR GAINESVILLE, GA"
12,12/31/17 18:00,Chico,CA,Other,"we (friend and I) experienced a 45 minute time loss.  We left bed bath and beyond store at 6:00pm.  It was new years eve and the employee there told us they close at 6pm and she unlocked the door to let us out.  So we know it was exactly 6pm.  A drive to my house should take no more than 10 minutes from that store,yet we arrived at my house at 6:45 pm."
13,12/31/17 12:32,Janesville,WI,Cylinder,"Stationary, solid, white cylinder floating 20-40 feet above a building."
14,12/31/17 05:28,Ephrata,WA,Triangle,Blue/white dots appearing against black horizon
15,12/31/17 03:17,Palm Bay,FL,Other,"An Oval w/ one circle on each side, vary shiny and translucent, it was also gray and red"
16,12/31/17 00:00,Gilbert,AZ,Changing,"As many as 7 Orbs seen ascending and descending, changing colors and flight paths for 30 minutes"
17,12/30/17 22:30,Port Saint Lucie,FL,Light,A couple of friends and I were sitting out front of my garage when suddenly we noticed 8 red lights in the sky. A couple of them briefly formed almost like a triangle shape. The lights kept moving around and slowly each one would get higher up until it was no longer visible.
18,12/30/17 21:05,Anthem,AZ,Light,Red lights above north Phoenix Arizona
19,12/30/17 17:45,Parker,CO,Other,UFO sighting  12/30/17 over southern suburbs of Denver.
20,12/30/17 17:30,Cedar Springs,MI,Rectangle,square of 16? twinkling multicolored lights that hovered in air
21,12/30/17 17:00,Santa Ana,CA,Light,"Bright light flew over 55 freeway in California, slowing traffic"
22,12/30/17 12:00,Liberty Lake,WA,Egg,Object hovering above the Spokane river/Not a drone to big.
23,12/30/17 08:00,Sulphur Springs,TX,Formation,"I was outside and saw about 15-20 fireballs flying in a weird design all stayed the same but moved really fast I ran inside the second I saw them and was like no way this is fucking happening wtf could that be other than a ufo and grabbed my cell phone but by the time i got the video recorder going the last of the lights disapeared behind clouds or something it was dark so i dont even know if there was clouds.  It was to big to be man made ship,Could have been 20-30 missles or something getting shot somewhere but why over north east texas? Where would 30 missles be going in texas?  I dunno man I wish I was fast enough to record it I never thought I would ever see anything I couldnt explain but damn sure did last night.  The only reason Im on this site is because I was googling ""12/30/17 weird lights/ufo over texas, but I dont seem to be able to find anyone else posting a picture or video or anything about it. I cant be the only one who saw this thing!"
24,12/30/17 05:20,Keizer,OR,Triangle,Seen a triagle shape with lights on it something came out of it and dissappeared.
25,12/30/17 02:00,Eden,ID,Unknown,Constant hover..blue and yellow orange beams that rotate from top to bottom white light is blinding bright
